@RELATION us_county_election_2020_svm

@ATTRIBUTE votes_gop     NUMERIC
@ATTRIBUTE votes_dem     NUMERIC
@ATTRIBUTE total_votes   NUMERIC
@ATTRIBUTE winner        {GOP, DEM}

@DATA
3593,1365,5091,GOP
9521,14981,25158,DEM
6938,2283,9498,GOP
1757,839,2679,GOP
4569,1080,5857,GOP
1286,1423,2848,DEM
2729,1032,3875,GOP
3715,1226,5177,GOP
6441,1544,8225,GOP
22884,6686,30662,GOP
5658,1563,7351,GOP
5783,1531,7503,GOP
11920,4245,16529,GOP
7296,4558,12342,GOP
1545,1147,2816,GOP
3046,731,3873,GOP
2133,1076,3358,GOP
3192,709,3998,GOP
5294,3995,9629,GOP
3479,1012,4627,GOP
2417,3623,6242,DEM
3519,644,4246,GOP
5918,1424,7521,GOP
7035,1246,8490,GOP
18081,5772,24432,GOP
2786,654,3495,GOP
63687,101947,169956,DEM
5355,1215,6812,GOP
3242,3604,7108,DEM
39556,16060,56959,GOP
2962,483,3551,GOP
3365,588,4019,GOP
31198,14487,47140,GOP
3884,1116,5202,GOP
5938,1398,7566,GOP
4616,1180,5938,GOP
10478,5584,16607,GOP
6034,1593,7807,GOP
47504,43824,94266,GOP
24182,5978,30885,GOP
1543,856,2476,GOP
5226,1284,6741,GOP
136309,617659,769864,DEM
244,476,741,DEM
13585,8153,22302,GOP
48730,50426,102042,DEM
16518,10046,27164,GOP
4554,3234,7951,GOP
152877,416386,581230,DEM
6461,4677,11452,GOP
61838,51621,116138,GOP
164464,193025,364809,DEM
7063,3995,11292,GOP
21770,44768,68828,DEM
20847,34678,56718,DEM
4620,4634,9481,DEM
164484,133366,305226,GOP
24072,18699,43858,GOP
13123,14941,28800,DEM
8970,2799,11985,GOP
1145530,3028885,4263443,DEM
29378,23168,53722,GOP
24612,128288,155801,DEM
5950,4088,10280,GOP
13267,28782,43336,DEM
39397,48991,90541,DEM
3109,1150,4338,GOP
2513,4013,6737,DEM
46299,113953,163883,DEM
20676,49817,72122,DEM
26779,36359,64738,DEM
676498,814009,1521725,DEM
122488,106869,235017,GOP
6445,4561,11256,GOP
448702,527945,996156,DEM
259405,440808,718290,DEM
10590,17628,28821,DEM
366257,455859,840931,DEM
600094,964650,1601722,DEM
56417,378156,443458,DEM
121098,161137,288443,DEM
67436,88310,159681,DEM
75563,291410,374138,DEM
65736,129963,200288,DEM
214612,617967,850522,DEM
26937,114246,144796,DEM
60789,30000,92900,GOP
1142,730,1930,GOP
13290,9593,23450,GOP
69306,131639,205831,DEM
61825,199938,268252,DEM
104145,105841,214876,DEM
24375,17367,42640,GOP
19141,8911,28721,GOP
3188,2851,6258,GOP
77579,66105,146832,GOP
17689,11978,30401,GOP
162207,251388,422698,DEM
27292,67598,97264,DEM
17676,11230,29787,GOP
95657,134202,236735,DEM
3813,3759,7808,GOP
127323,213607,350183,DEM
5189,3738,9144,GOP
1867,317,2225,GOP
1503,732,2274,GOP
42501,159089,206111,DEM
16295,29077,46632,DEM
6222,7160,13717,DEM
993,131,1136,GOP
2754,3604,6548,DEM
2286,1959,4333,GOP
741,1311,2094,DEM
1271,437,1750,GOP
2474,1112,3634,GOP
13081,5887,19370,GOP
71618,313293,393827,DEM
1089,341,1449,GOP
121270,104653,231599,GOP
9892,18588,29140,DEM
14027,4490,18983,GOP
202828,161941,378849,GOP
17517,7369,25557,GOP
14717,15427,30904,DEM
1833,2223,4186,DEM
4883,4710,9870,GOP
3735,7132,11190,DEM
353,255,632,GOP
2203,2076,4406,GOP
681,175,876,GOP
148417,218396,377357,DEM
795,98,903,GOP
3144,662,3871,GOP
1497,2303,3961,DEM
14233,20548,35667,DEM
91489,126120,224338,DEM
4284,3497,7961,GOP
2135,470,2651,GOP
8087,2218,10532,GOP
56894,31536,90622,GOP
427,317,756,GOP
5670,1203,7026,GOP
9306,5836,15500,GOP
16770,7687,24922,GOP
9593,3876,13744,GOP
5756,3605,9576,GOP
1577,2365,4020,DEM
6991,4903,12290,GOP
1958,486,2485,GOP
2780,8989,11957,DEM
4008,1458,5561,GOP
42252,43772,88299,DEM
3061,561,3691,GOP
3660,2495,6305,GOP
5925,10582,16876,DEM
1413,1884,3389,DEM
202,342,563,DEM
1136,3924,5147,DEM
1121,301,1446,GOP
5322,12631,18479,DEM
11241,5278,16939,GOP
2595,369,3008,GOP
96145,66060,166968,GOP
4107,785,4981,GOP
169039,297505,472990,DEM
159024,283368,449336,DEM
55601,50164,107544,GOP
40665,56848,99203,DEM
169892,242629,417980,DEM
57110,79459,139604,DEM
34819,44006,80546,DEM
29141,26701,57077,GOP
41009,44552,87025,DEM
88364,195034,287633,DEM
71230,56682,129352,GOP
18586,317323,344356,DEM
50972,89704,142604,DEM
11911,2037,14059,GOP
66097,25614,93024,GOP
10334,3160,13632,GOP
207883,148549,360764,GOP
333409,618752,957672,DEM
5274,1209,6526,GOP
73243,42273,116340,GOP
65352,27092,93208,GOP
84480,38317,124405,GOP
128950,77621,207818,GOP
23836,8914,33042,GOP
8313,4259,12659,GOP
6759,1365,8167,GOP
233762,252556,492820,DEM
96674,70929,170372,GOP
43043,28161,71716,GOP
4675,2120,6849,GOP
7465,16153,23762,DEM
7895,1700,9685,GOP
3782,1385,5193,GOP
6113,1985,8163,GOP
3815,1963,5830,GOP
6122,2298,8485,GOP
7906,4929,12940,GOP
70412,37519,108922,GOP
34873,16938,52170,GOP
327398,376367,712063,DEM
8080,924,9068,GOP
58872,37844,97484,GOP
15488,6766,22419,GOP
4479,3897,8451,GOP
3128,510,3658,GOP
125859,83505,211314,GOP
233247,157695,393899,GOP
57453,103517,162929,DEM
16749,6205,23145,GOP
2846,694,3561,GOP
5576,3747,9380,GOP
124987,90166,216958,GOP
127826,74858,204376,GOP
61168,36893,98726,GOP
532833,617864,1156816,DEM
25693,21881,48029,GOP
42566,15564,58811,GOP
79798,34248,116373,GOP
11470,4390,15954,GOP
245398,395014,647403,DEM
73480,97297,172436,DEM
334711,433572,773158,DEM
179621,119073,301970,GOP
276209,277450,559715,DEM
194586,145049,343256,GOP
25514,10527,36373,GOP
110946,63850,176622,GOP
86831,84137,172169,GOP
77385,27612,106928,GOP
148370,120110,270575,GOP
125241,132528,260815,DEM
62761,29341,92485,GOP
16410,4485,21057,GOP
7751,2299,10127,GOP
5133,1053,6245,GOP
173821,130575,307439,GOP
12874,5351,18404,GOP
32947,10338,43711,GOP
9876,2347,12327,GOP
6570,1784,8390,GOP
2300,825,3155,GOP
4017,625,4667,GOP
897,652,1555,GOP
8903,9140,18251,DEM
7795,932,8801,GOP
26804,10453,37921,GOP
37672,12091,50464,GOP
4111,2393,6564,GOP
6419,1269,7743,GOP
26559,43408,70714,DEM
4329,1312,5708,GOP
6993,700,7749,GOP
4261,2791,7101,GOP
14240,6738,21335,GOP
18387,11248,30090,GOP
5400,5208,10683,GOP
8406,3274,11771,GOP
923,1263,2198,DEM
15249,7967,23686,GOP
3133,1269,4431,GOP
37476,16236,54472,GOP
25167,6932,32593,GOP
3419,1105,4568,GOP
53232,78247,133408,DEM
880,667,1582,GOP
8064,1854,10050,GOP
99585,42779,144815,GOP
14450,36055,51346,DEM
637,791,1435,DEM
15811,95466,112330,DEM
2105,744,2861,GOP
165436,221847,393728,DEM
10578,4511,15214,GOP
11777,4190,16086,GOP
50013,29232,80575,GOP
4900,2059,7035,GOP
51501,24210,76799,GOP
4428,1615,6102,GOP
4985,2982,8033,GOP
6066,1261,7434,GOP
13398,2486,16081,GOP
6755,4782,11625,GOP
58377,308162,370746,DEM
5843,2172,8071,GOP
2159,1911,4105,GOP
10441,24568,35287,DEM
25454,42814,69106,DEM
2710,2450,5188,GOP
1256,167,1441,GOP
23361,7718,31571,GOP
6226,2879,9171,GOP
6553,2886,9505,GOP
2888,1324,4247,GOP
12169,2570,14849,GOP
37956,33062,71994,GOP
28906,11917,41341,GOP
85123,42208,129311,GOP
9069,1593,10765,GOP
137247,380212,523779,DEM
13429,2932,16525,GOP
1402,155,1565,GOP
25617,15882,41988,GOP
19405,4384,24033,GOP
7034,3619,10707,GOP
7066,4087,11244,GOP
166400,241994,414023,DEM
16637,3562,20431,GOP
64183,25033,90537,GOP
1154,2976,4153,DEM
12330,1791,14246,GOP
14319,5457,19991,GOP
9465,3157,12728,GOP
4519,824,5394,GOP
48259,73443,122998,DEM
41540,32239,74838,GOP
3134,1008,4168,GOP
29502,7642,37675,GOP
5822,1761,7644,GOP
4695,1028,5771,GOP
3537,4058,7639,DEM
2161,1266,3455,GOP
2850,1222,4100,GOP
9940,4882,14934,GOP
6331,2620,9045,GOP
2509,1019,3576,GOP
14493,8074,22731,GOP
12007,4558,16714,GOP
7959,13104,21394,DEM
3173,1432,4641,GOP
3527,2035,5657,GOP
25692,20116,46355,GOP
12163,3126,15531,GOP
6169,4168,10455,GOP
4016,2612,6696,GOP
1783,2858,4663,DEM
11326,3411,14937,GOP
2275,1312,3625,GOP
6524,4287,10877,GOP
2066,748,2834,GOP
4935,3993,8962,GOP
11057,4385,15590,GOP
2960,980,3967,GOP
8231,3353,11706,GOP
12944,2301,15389,GOP
30107,49446,80514,DEM
23869,29789,54234,DEM
16595,8162,25168,GOP
5592,2439,8133,GOP
54517,29695,85372,GOP
6506,5922,12553,GOP
14110,2824,17167,GOP
7898,1100,9047,GOP
9127,1505,10720,GOP
13587,3657,17396,GOP
2815,1230,4081,GOP
8291,3448,11855,GOP
604,497,1106,GOP
7474,1984,9568,GOP
1390,1671,3073,DEM
26780,59119,87009,DEM
13014,31237,44681,DEM
1800,462,2275,GOP
3915,2661,6627,GOP
2613,1256,3888,GOP
18104,11828,30211,GOP
9367,2386,11885,GOP
801,1182,1990,DEM
5733,6314,12148,DEM
1392,2114,3522,DEM
360,561,928,DEM
6054,2062,8185,GOP
2420,1388,3842,GOP
2825,1488,4334,GOP
2004,2376,4416,DEM
12969,8708,21872,GOP
10784,5318,16279,GOP
7873,2938,10914,GOP
6384,1550,7979,GOP
2101,952,3077,GOP
18142,11577,30047,GOP
2349,1409,3791,GOP
2370,2044,4444,GOP
12650,2800,15558,GOP
8606,4203,12905,GOP
23173,5770,29354,GOP
37839,12683,51093,GOP
9903,4169,14189,GOP
1166,1468,2650,DEM
4668,4743,9477,DEM
9987,2688,12779,GOP
748,640,1391,GOP
1583,689,2285,GOP
12222,2411,14816,GOP
25644,10680,36766,GOP
2402,861,3279,GOP
2823,2160,5030,GOP
2665,2074,4770,GOP
6830,2395,9285,GOP
26897,58731,87814,DEM
136259,238869,382114,DEM
11582,21225,33497,DEM
22126,47305,71044,DEM
130699,120539,259389,GOP
1941,591,2586,GOP
23331,14682,39553,GOP
2914,350,3315,GOP
3878,977,4973,GOP
15295,4124,20094,GOP
4031,8919,13288,DEM
3485,1204,4820,GOP
18369,8310,27352,GOP
37805,14254,53995,GOP
4937,1220,6313,GOP
1202,188,1415,GOP
507,149,754,GOP
61759,25881,90438,GOP
2906,431,3416,GOP
7907,1464,9629,GOP
264,41,311,GOP
3453,877,4419,GOP
2089,603,2739,GOP
7246,2601,10205,GOP
5845,657,6664,GOP
5548,998,6719,GOP
7951,1803,9958,GOP
4659,1256,6050,GOP
7826,1561,9602,GOP
12099,1661,14173,GOP
5734,1893,7812,GOP
62837,24312,89878,GOP
9472,10236,20570,DEM
3592,1032,4738,GOP
1489,349,1870,GOP
1469,414,1940,GOP
13559,2666,17112,GOP
6265,1550,7993,GOP
13738,6686,20967,GOP
2148,249,2451,GOP
3819,816,4742,GOP
8862,2161,11293,GOP
2116,865,3086,GOP
4216,1693,6049,GOP
2858,3318,6347,DEM
25897,9391,36680,GOP
3947,2976,7063,GOP
4154,1073,5344,GOP
24220,8633,33527,GOP
1486,1114,2625,GOP
5625,2288,8144,GOP
13883,10542,24979,GOP
1931,486,2525,GOP
10411,6669,17434,GOP
2046,677,2773,GOP
5105,2748,8024,GOP
3625,1615,5326,GOP
35285,57067,95568,DEM
11563,4335,16204,GOP
6226,1993,8355,GOP
5629,1129,6899,GOP
14304,4493,19214,GOP
14037,8067,22606,GOP
558269,1725973,2321399,DEM
7043,2202,9441,GOP
4601,1142,5850,GOP
21905,24643,47989,DEM
5632,2191,8024,GOP
6227,2335,8760,GOP
193611,281222,485064,DEM
6193,1887,8196,GOP
2833,488,3368,GOP
15006,3716,19083,GOP
8055,1826,10076,GOP
5048,1754,6967,GOP
13622,4760,18669,GOP
9867,6503,16724,GOP
2019,622,2675,GOP
4770,1349,6227,GOP
16523,9626,26753,GOP
3432,824,4323,GOP
6906,2315,9383,GOP
1691,449,2162,GOP
2394,1187,3656,GOP
15300,9797,25700,GOP
10877,2908,14044,GOP
10890,11181,22716,DEM
4494,1007,5586,GOP
12476,4608,17436,GOP
8712,2961,11960,GOP
7166,5109,12495,GOP
5059,1281,6450,GOP
96775,130166,231876,DEM
28532,20271,50039,GOP
29492,33168,64205,DEM
12009,10703,23205,GOP
123594,204032,334156,DEM
30113,22442,53683,GOP
4886,1419,6422,GOP
9630,6407,16440,GOP
12208,4615,17174,GOP
9136,3840,13294,GOP
7027,4992,12285,GOP
82260,78154,164578,GOP
40502,43933,87389,DEM
28589,19847,49387,GOP
16153,7365,24070,GOP
76031,57836,137558,GOP
12678,4524,17492,GOP
4197,2005,6345,GOP
4654,1985,6766,GOP
4997,1725,6818,GOP
4764,2022,6954,GOP
5418,3280,8914,GOP
14142,6569,21206,GOP
9544,3905,13761,GOP
9950,5076,15333,GOP
4964,1662,6744,GOP
16248,9428,26340,GOP
38252,43578,83973,DEM
7313,2612,10071,GOP
6248,3329,9851,GOP
6332,1484,7965,GOP
1722,433,2175,GOP
1699,891,2631,GOP
1993,1338,3390,GOP
11076,3592,14910,GOP
6089,1830,8063,GOP
28603,36691,66817,DEM
57150,68325,128104,DEM
8103,2789,11089,GOP
53485,48917,104751,GOP
2773,1068,3918,GOP
2114,572,2741,GOP
9426,2504,12097,GOP
2004,815,2886,GOP
12521,9055,22048,GOP
42513,24819,69051,GOP
6161,2579,8904,GOP
20725,10323,31642,GOP
4237,1253,5607,GOP
4676,3090,7924,GOP
6115,1641,7921,GOP
7176,1187,8499,GOP
5791,1517,7431,GOP
14527,12253,27375,GOP
155116,183915,346266,DEM
22801,10206,33729,GOP
60861,64056,127710,DEM
14799,6160,21498,GOP
10686,3236,14209,GOP
92083,73189,169082,GOP
22410,12934,36235,GOP
3007,1009,4114,GOP
3841,1376,5350,GOP
22351,15244,38520,GOP
5777,3036,8981,GOP
7086,2224,9495,GOP
10552,4304,15198,GOP
33668,23093,57869,GOP
9499,2552,12267,GOP
9334,3361,12949,GOP
3483,1355,4944,GOP
9576,2169,11954,GOP
19528,5446,25383,GOP
9575,2439,12287,GOP
14237,4966,19628,GOP
26827,20474,48191,GOP
15033,6292,21770,GOP
46972,26108,74387,GOP
7755,2237,10136,GOP
23400,17511,41802,GOP
6154,1629,7986,GOP
9691,2137,12000,GOP
6694,2280,9147,GOP
11817,4023,16161,GOP
18543,8015,27159,GOP
11103,3389,14784,GOP
101587,88390,193999,GOP
28996,12895,42911,GOP
14565,5343,20236,GOP
53802,32604,88505,GOP
15043,5544,21030,GOP
26449,13303,40630,GOP
13147,4255,17829,GOP
14555,4302,19238,GOP
11383,3798,15475,GOP
6361,1926,8461,GOP
9663,4731,14697,GOP
9490,2523,12251,GOP
51219,24736,77618,GOP
11655,4067,16011,GOP
26499,8364,35787,GOP
8110,2355,10633,GOP
91760,124870,219956,DEM
25997,22427,49392,GOP
15601,4961,21025,GOP
31215,19524,51793,GOP
134175,247772,389619,DEM
13844,5712,19927,GOP
4029,1011,5144,GOP
10925,3235,14473,GOP
22071,39861,63151,DEM
12659,4213,17198,GOP
27512,7781,36159,GOP
4942,1509,6591,GOP
14195,4660,19190,GOP
2392,750,3164,GOP
6432,2224,8832,GOP
7286,2420,9904,GOP
5398,1503,7011,GOP
5345,3203,8722,GOP
4692,1415,6220,GOP
45008,39746,86509,GOP
9206,3811,13236,GOP
4246,1463,5806,GOP
12278,3946,16597,GOP
8312,2513,11070,GOP
11261,2774,14271,GOP
6035,1754,7932,GOP
53164,59896,115238,DEM
7328,2698,10161,GOP
14568,5023,19991,GOP
7357,3213,10769,GOP
7466,2650,10290,GOP
11327,4513,16162,GOP
6691,2153,8994,GOP
3133,964,4154,GOP
34581,35017,71448,DEM
6110,1834,8116,GOP
2688,736,3483,GOP
41844,34415,77662,GOP
5184,2145,7481,GOP
24545,18123,43594,GOP
10762,3494,14573,GOP
3401,974,4472,GOP
21326,11923,33829,GOP
9114,2784,12139,GOP
17567,9524,27679,GOP
10855,2928,14050,GOP
7957,3032,11166,GOP
12862,4234,17556,GOP
2917,1198,4177,GOP
1530,590,2160,GOP
4735,2576,7422,GOP
4512,1891,6516,GOP
2295,1071,3420,GOP
9188,5160,14642,GOP
29640,35647,66593,DEM
8695,6303,15340,GOP
8294,5958,14546,GOP
6420,4169,10774,GOP
5056,2961,8167,GOP
5542,2424,8098,GOP
3689,1470,5258,GOP
7737,3454,11335,GOP
4969,2201,7276,GOP
6161,4337,10703,GOP
12442,10941,23801,GOP
4495,1936,6518,GOP
4308,2233,6631,GOP
3144,1466,4670,GOP
6137,2662,8969,GOP
6106,3340,9594,GOP
13361,10812,24687,GOP
4854,2220,7154,GOP
27987,26879,56022,GOP
3032,1013,4102,GOP
2615,1120,3804,GOP
6666,3157,10003,GOP
10592,8893,19956,GOP
7438,3661,11244,GOP
27214,25657,53926,GOP
3265,1520,4853,GOP
6145,3835,10186,GOP
4732,3172,8032,GOP
3422,1626,5130,GOP
2711,1080,3857,GOP
3223,1769,5057,GOP
4929,2206,7276,GOP
4272,1985,6371,GOP
4956,2843,7943,GOP
4390,1683,6172,GOP
5850,2976,8989,GOP
5569,2440,8155,GOP
6507,3275,9982,GOP
3127,1772,4958,GOP
3819,1442,5327,GOP
2880,917,3849,GOP
6009,3547,9742,GOP
6940,4029,11135,GOP
12084,7737,20184,GOP
4443,4319,8959,GOP
22925,59177,83851,DEM
6572,4213,10989,GOP
3797,1414,5303,GOP
6275,2696,9090,GOP
9773,6541,16734,GOP
53364,70874,127458,DEM
3500,1726,5332,GOP
3287,1284,4630,GOP
5707,1067,6863,GOP
6507,3134,9824,GOP
8297,2894,11404,GOP
12663,6178,19232,GOP
9571,8176,18136,GOP
5585,2508,8268,GOP
3677,2053,5822,GOP
3248,1407,4728,GOP
2975,1078,4088,GOP
3659,1583,5327,GOP
10823,9372,20671,GOP
5861,1569,7551,GOP
2690,601,3328,GOP
5319,2086,7528,GOP
3370,1519,4958,GOP
10492,3494,14188,GOP
2826,933,3823,GOP
106800,146250,258755,DEM
26247,18575,45744,GOP
5657,4306,10140,GOP
1968,709,2714,GOP
4061,1389,5535,GOP
43683,46926,92599,DEM
4697,1959,6795,GOP
15680,3019,19051,GOP
20340,29175,51038,DEM
5303,3577,9048,GOP
2463,746,3249,GOP
4010,2061,6185,GOP
2859,875,3791,GOP
9516,5821,15633,GOP
17782,12574,31039,GOP
6971,4561,11765,GOP
2338,727,3109,GOP
10938,6613,17822,GOP
3707,2135,5970,GOP
6235,5617,12064,GOP
25736,18704,45362,GOP
2738,1596,4418,GOP
4136,1996,6254,GOP
4155,1559,5842,GOP
2874,765,3720,GOP
4826,2314,7312,GOP
1992,284,2313,GOP
8480,2302,10961,GOP
4910,1505,6550,GOP
3206,1088,4396,GOP
22250,9003,31946,GOP
1114,341,1478,GOP
1397,212,1634,GOP
6622,2163,8945,GOP
1158,220,1400,GOP
885,143,1048,GOP
3129,883,4134,GOP
3182,893,4174,GOP
3407,928,4448,GOP
745,126,904,GOP
9442,4171,13911,GOP
10045,6179,16718,GOP
1232,208,1458,GOP
7045,2040,9246,GOP
2949,678,3674,GOP
16737,39436,57540,DEM
1127,267,1413,GOP
1130,191,1347,GOP
9569,3633,13501,GOP
2106,646,2806,GOP
7079,4155,11466,GOP
5763,2926,8850,GOP
8326,3623,12247,GOP
5193,3825,9311,GOP
1256,163,1433,GOP
1052,222,1302,GOP
1910,497,2452,GOP
1871,337,2240,GOP
537,77,629,GOP
2404,562,3030,GOP
684,134,837,GOP
2128,453,2626,GOP
10015,6652,17034,GOP
1103,261,1383,GOP
866,151,1033,GOP
4435,1852,6468,GOP
6193,3106,9581,GOP
1369,211,1608,GOP
155631,184259,349386,DEM
1134,255,1413,GOP
3102,745,3929,GOP
957,153,1139,GOP
5639,2607,8414,GOP
757,114,888,GOP
21378,13753,36115,GOP
1273,266,1570,GOP
3940,863,4903,GOP
1231,185,1437,GOP
7381,5878,13622,GOP
9562,3977,13868,GOP
4377,1463,5969,GOP
3662,1239,5023,GOP
1508,261,1807,GOP
12116,5133,17624,GOP
2454,547,3039,GOP
9768,3147,13177,GOP
2085,721,2849,GOP
1004,147,1163,GOP
4612,920,5625,GOP
4795,1727,6629,GOP
1315,147,1487,GOP
1977,361,2390,GOP
5591,2099,7893,GOP
1590,275,1899,GOP
2581,504,3159,GOP
2028,635,2712,GOP
2388,318,2752,GOP
9247,3257,12815,GOP
3087,924,4107,GOP
1253,214,1496,GOP
17948,8602,27245,GOP
2172,420,2643,GOP
3187,953,4230,GOP
11174,11940,23855,DEM
2294,332,2661,GOP
1425,291,1748,GOP
2765,591,3429,GOP
15313,8022,23911,GOP
1991,290,2322,GOP
117653,90820,213552,GOP
3285,1736,5099,GOP
40443,43015,86122,DEM
1237,144,1397,GOP
2222,386,2673,GOP
1734,328,2092,GOP
1631,355,2017,GOP
607,147,767,GOP
1731,233,1997,GOP
7998,2551,10779,GOP
3106,622,3794,GOP
1341,238,1603,GOP
2813,956,3861,GOP
762,44,817,GOP
2332,467,2843,GOP
803,147,961,GOP
3111,711,3899,GOP
1189,283,1495,GOP
18512,35566,55107,DEM
7276,1392,8768,GOP
7587,1642,9364,GOP
9661,3348,13254,GOP
3356,825,4225,GOP
14654,5127,20064,GOP
3986,1573,5627,GOP
8140,1789,10044,GOP
44814,20901,66998,GOP
6190,3296,9648,GOP
14295,7083,21751,GOP
8872,5298,14478,GOP
3398,800,4246,GOP
4265,1301,5661,GOP
7701,2350,10201,GOP
30708,10552,41998,GOP
4960,1079,6125,GOP
4906,1433,6434,GOP
11352,5797,17457,GOP
28482,19374,48878,GOP
2159,463,2638,GOP
2954,1116,4136,GOP
8775,2642,11586,GOP
6179,918,7171,GOP
15080,8296,23863,GOP
11811,6004,18139,GOP
6677,831,7591,GOP
4280,603,4932,GOP
3451,731,4242,GOP
2769,508,3309,GOP
31025,17286,49287,GOP
4828,1227,6132,GOP
2246,712,2995,GOP
5100,1355,6540,GOP
58860,90600,152912,DEM
5534,1474,7068,GOP
12250,3884,16353,GOP
12900,12652,26072,GOP
1606,794,2426,GOP
2955,822,3849,GOP
6754,1830,8706,GOP
8725,2205,11108,GOP
13206,3560,17019,GOP
9453,2400,11985,GOP
4838,920,5812,GOP
13064,4873,18176,GOP
3145,1351,4587,GOP
29832,18101,48941,GOP
9367,1494,10971,GOP
6334,2400,8859,GOP
6345,1908,8370,GOP
12730,7639,20697,GOP
5843,2142,8110,GOP
1714,458,2199,GOP
15757,5439,21512,GOP
5453,605,6113,GOP
150646,228358,386629,DEM
17096,8567,26280,GOP
8450,1608,10192,GOP
48129,32271,82198,GOP
4780,1412,6252,GOP
11012,2114,13273,GOP
5685,1504,7301,GOP
23237,4475,28111,GOP
5633,1238,6955,GOP
2273,481,2801,GOP
4321,446,4813,GOP
7226,1799,9135,GOP
4986,823,5883,GOP
8489,2254,10914,GOP
4010,939,5004,GOP
9067,3094,12350,GOP
3100,1092,4228,GOP
21820,11195,33549,GOP
